id,reply_text,true_category,has_hidden_condition,expected_manual_review,condition_type,difficulty,tone,length_bucket,label_rationale,expected_requests,expected_conditions,generation_model,split,human_review_status,human_review_notes,predicted_category,predicted_manual_review,predicted_requests,predicted_conditions,predicted_evidence,manual_review_reason,valid_json,latency_seconds,input_tokens,output_tokens,estimated_cost_usd,execution_error,category_correct,manual_review_correct
H001,"Hi! Thanks so much for thinking of me. I'd be happy to take part in the campaign, so just send over whatever I need to get started. Best, Priya",Interested,False,False,none,easy,enthusiastic,short,"Clear acceptance with no terms, questions, or conditions attached.",none,none,Claude,heldout,Approved,,Interested,False,[],[],"[""I'd be happy to take part in the campaign""]",,True,0.744,745,68,0.0001017,,True,True
H002,"Omg yes, I've been using your lip oil for months and my followers always ask about it 😍 This feels like such a natural fit and I'm genuinely excited. Quick heads up though, my rate for a reel plus three stories is $1,200 and I'd need that confirmed before I film anything.",Negotiation,True,True,payment;deliverables,medium,enthusiastic,medium,"Enthusiastic opening, but the final sentence sets a fee and makes confirmation of payment a precondition for filming.",none,"Payment of $1,200 for one reel plus three stories must be confirmed before filming",Claude,heldout,Approved,,Negotiation,True,[],"[""my rate for a reel plus three stories is $1,200""]","[""my rate for a reel plus three stories is $1,200""]","Influencer states a specific rate, which is a material condition.",True,0.734,777,108,0.0001209,,True,True
H003,"Thank you for the invitation. Unfortunately I'm not taking on any brand partnerships until the new year, so I'll have to pass this time. Wishing the launch every success.",Declined,False,False,none,easy,formal,short,Explicit refusal due to unavailability with no counter-proposal.,none,none,Claude,heldout,Approved,,Declined,False,[],[],"[""Unfortunately I'm not taking on any brand partnerships until the new year, so I'll have to pass this time.""]",,True,0.714,746,82,0.0001074,,True,True
H004,This is an automatic reply. I am currently travelling with limited access to email and will respond to messages after 12 October. For urgent matters please contact my assistant.,Unclear,False,True,none,easy,formal,short,Automatic out-of-office response that does not address participation.,none,none,Claude,heldout,Approved,,Unclear,True,[],[],"[""This is an automatic reply."", ""I am currently travelling with limited access to email and will respond to messages after 12 October.""]","The reply is an automatic message indicating limited availability and directing urgent matters to an assistant, making the influencer's intent regarding the campaign unclear.",True,0.834,743,114,0.0001199,,True,True
H005,"Hey! Sounds fun. Before I say yes, which products would I actually be featuring, and how many posts are you expecting? Also is there a rough timeline?",Needs Information,False,False,none,easy,casual,short,"Asks about products, deliverable volume, and timeline before deciding; no terms proposed.",Products to feature; number of posts; campaign timeline,none,Claude,heldout,Approved,,Needs Information,False,"[""which products would I actually be featuring"", ""how many posts are you expecting"", ""is there a rough timeline""]",[],"[""which products would I actually be featuring"", ""how many posts are you expecting"", ""is there a rough timeline""]",,True,0.867,742,117,0.000121,,True,True
H006,"Thank you for reaching out, this is lovely. I really admire how your brand handles ingredient transparency and I think my audience would respond well. I'm glad to be involved. One thing to note: I currently have an exclusivity agreement with another skincare label that runs until November, so I could only post from December onward and couldn't mention serums or moisturisers.",Negotiation,True,True,timing;exclusivity;product,hard,formal,long,Acceptance language is followed by restrictions on posting dates and product categories arising from an existing exclusivity deal.,none,Posting only from December onward; cannot feature serums or moisturisers due to existing exclusivity,Claude,heldout,Approved,,Unclear,True,[],[],[],The model returned invalid JSON.,False,1.229,0,0,0.0,,False,True
H007,yes!! count me in 🙌 just tell me where to send my address,Interested,False,False,none,easy,enthusiastic,short,"Unconditional acceptance; offering a shipping address is logistics, not a condition.",none,none,Claude,heldout,Approved,,Interested,False,"[""where to send my address""]",[],"[""count me in"", ""just tell me where to send my address""]",,True,0.749,723,70,0.0001003,,True,True
H008,"Hey, appreciate you thinking of me but it's gonna be a no from me. Not really the direction I'm taking my content right now. Good luck with it though!",Declined,False,False,none,easy,casual,short,Clear refusal based on content direction; no negotiation.,none,none,Claude,heldout,Approved,,Declined,False,[],[],"[""it's gonna be a no from me""]",,True,0.628,746,67,0.0001014,,True,True
H009,"Good afternoon, Thank you for the kind invitation. Could you please share the campaign brief, including the required deliverables, the posting window, and whether the collaboration is paid or gifted? I would like to review these details before confirming. Kind regards, Dr. Amara Osei",Needs Information,False,False,none,easy,formal,medium,"Requests brief, deliverables, schedule, and compensation model before deciding; proposes no terms.",Campaign brief; required deliverables; posting window; paid or gifted,none,Claude,heldout,Approved,,Needs Information,False,"[""campaign brief"", ""required deliverables"", ""posting window"", ""whether the collaboration is paid or gifted""]",[],"[""Could you please share the campaign brief, including the required deliverables, the posting window, and whether the collaboration is paid or gifted?""]",,True,1.046,764,115,0.0001224,,True,True
H010,"I'm in! Actually, wait, I just remembered my manager said I'm not supposed to commit to anything this quarter. Or maybe that was only for fashion brands? Let me think about it.",Unclear,False,True,none,hard,hesitant,short,Acceptance is immediately contradicted by possible unavailability; intent is unresolved.,none,none,Claude,heldout,Approved,,Unclear,True,[],[],"[""I'm in!"", ""Actually, wait, I just remembered my manager said I'm not supposed to commit to anything this quarter."", ""Let me think about it.""]",Reply contains conflicting intentions and ambiguity about availability.,True,1.618,751,105,0.0001171,,True,True
