id,reply_text,true_category,has_hidden_condition,expected_manual_review,condition_type,difficulty,tone,length_bucket,label_rationale,expected_requests,expected_conditions,generation_model,split,human_review_status,human_review_notes,majority_prediction,keyword_prediction,predicted_category,predicted_manual_review,predicted_requests,predicted_conditions,predicted_evidence,manual_review_reason,valid_json,latency_seconds,input_tokens,output_tokens,estimated_cost_usd,execution_error,category_correct
D001,Thanks for thinking of me! I love the concept and would be delighted to take part in the campaign.,Interested,False,False,,Easy,Enthusiastic,Short,Accepts the campaign without a material condition.,,,OpenAI GPT-5 (ChatGPT),dev,Approved,,Interested,Unclear,Interested,False,[],[],"[""would be delighted to take part in the campaign""]",,True,4.122,394,66,6.58e-05,,True
D007,I would be very happy to support this launch. Please send over the next steps when they are ready.,Interested,False,False,,Medium,Professional,Short,Accepts first and asks only for next steps.,Send the next steps,,OpenAI GPT-5 (ChatGPT),dev,Approved,,Interested,Interested,Interested,False,"[""Please send over the next steps when they are ready.""]",[],"[""I would be very happy to support this launch.""]",,True,0.646,394,71,6.78e-05,,True
D013,"Thank you for reaching out, but I will have to decline this campaign.",Declined,False,False,,Easy,Polite,Short,Direct refusal.,,,OpenAI GPT-5 (ChatGPT),dev,Approved,,Interested,Declined,Declined,False,[],[],"[""I will have to decline this campaign.""]",,True,0.629,388,65,6.48e-05,,True
D022,"I love the brand, but I’m stepping away from social media work for personal reasons and won’t be participating.",Declined,False,False,,Medium,Personal,Medium,Positive brand sentiment does not override the explicit refusal.,,,OpenAI GPT-5 (ChatGPT),dev,Approved,,Interested,Unclear,Declined,False,[],[],"[""I love the brand, but I’m stepping away from social media work for personal reasons and won’t be participating.""]",,True,0.7,398,82,7.26e-05,,True
D025,Thanks for contacting me. Could you share the campaign dates and the expected posting deadline before I decide?,Needs Information,False,False,,Easy,Professional,Short,Requests timing information before deciding without proposing a condition.,Share campaign dates and posting deadline,,OpenAI GPT-5 (ChatGPT),dev,Approved,,Interested,Needs Information,Needs Information,False,"[""campaign dates"", ""posting deadline""]",[],"[""Could you share the campaign dates and the expected posting deadline before I decide?""]",,True,0.552,393,74,6.89e-05,,True
D031,The concept could be a good fit. How long would the brand need permission to reuse the content?,Needs Information,False,False,,Hard,Businesslike,Short,Asks for usage-rights information but does not yet impose a term.,Clarify the content usage period,,OpenAI GPT-5 (ChatGPT),dev,Approved,,Interested,Needs Information,Needs Information,False,"[""How long would the brand need permission to reuse the content?""]",[],"[""How long would the brand need permission to reuse the content?""]",,True,0.674,393,77,7.01e-05,,True
D037,I’m interested in the campaign. My standard fee for one reel and two stories is S$850. Let me know if that fits the budget.,Negotiation,False,True,Payment,Easy,Businesslike,Medium,States a required commercial rate.,Confirm whether S$850 fits the budget,Standard fee of S$850 for one reel and two stories,OpenAI GPT-5 (ChatGPT),dev,Approved,,Interested,Negotiation,Negotiation,True,[],"[""My standard fee for one reel and two stories is S$850.""]","[""My standard fee for one reel and two stories is S$850.""]","Influencer states a specific fee, indicating a negotiation point.",True,0.807,406,107,8.34e-05,,True
D043,"This launch is a perfect match for my audience and I’m excited to join. Everything in the brief looks fine. Just so you know, my current contract prevents me from featuring another skincare brand until 1 December.",Negotiation,True,True,Exclusivity,Hard,Enthusiastic,Long,An exclusivity restriction is buried after several positive statements.,Schedule the collaboration after 1 December or resolve the conflict,Existing skincare exclusivity until 1 December,OpenAI GPT-5 (ChatGPT),dev,Approved,,Interested,Negotiation,Negotiation,True,[],"[""my current contract prevents me from featuring another skincare brand until 1 December""]","[""my current contract prevents me from featuring another skincare brand until 1 December""]",Influencer has a contractual restriction that impacts campaign timing.,True,0.709,417,104,8.33e-05,,True
D049,Thanks for your email. I’ll think about it.,Unclear,False,True,Ambiguous Intent,Easy,Neutral,Short,"Does not accept, decline, or request specific information.",,,OpenAI GPT-5 (ChatGPT),dev,Approved,,Interested,Unclear,Unclear,True,[],[],"[""I’ll think about it.""]","The influencer's response is ambiguous and does not clearly indicate interest, decline, or a need for more information.",True,0.694,385,87,7.33e-05,,True
D052,"I love the idea and definitely want to join, but please do not include me in this campaign.",Unclear,False,True,Conflicting Intent,Medium,Contradictory,Short,Contains direct acceptance and refusal in the same sentence.,,,OpenAI GPT-5 (ChatGPT),dev,Approved,,Interested,Unclear,Declined,True,[],[],"[""definitely want to join"", ""please do not include me in this campaign""]",Conflicting intention: expresses interest but declines participation.,True,0.61,393,85,7.33e-05,,False
