id,reply_text,true_category,has_hidden_condition,expected_manual_review,condition_type,difficulty,tone,length_bucket,label_rationale,expected_requests,expected_conditions,generation_model,split,human_review_status,human_review_notes
H001,"Hi! Thanks so much for thinking of me. I'd be happy to take part in the campaign, so just send over whatever I need to get started. Best, Priya",Interested,False,False,none,easy,enthusiastic,short,"Clear acceptance with no terms, questions, or conditions attached.",none,none,Claude,heldout,Approved,
H002,"Omg yes, I've been using your lip oil for months and my followers always ask about it 😍 This feels like such a natural fit and I'm genuinely excited. Quick heads up though, my rate for a reel plus three stories is $1,200 and I'd need that confirmed before I film anything.",Negotiation,True,True,payment;deliverables,medium,enthusiastic,medium,"Enthusiastic opening, but the final sentence sets a fee and makes confirmation of payment a precondition for filming.",none,"Payment of $1,200 for one reel plus three stories must be confirmed before filming",Claude,heldout,Approved,
H003,"Thank you for the invitation. Unfortunately I'm not taking on any brand partnerships until the new year, so I'll have to pass this time. Wishing the launch every success.",Declined,False,False,none,easy,formal,short,Explicit refusal due to unavailability with no counter-proposal.,none,none,Claude,heldout,Approved,
H004,This is an automatic reply. I am currently travelling with limited access to email and will respond to messages after 12 October. For urgent matters please contact my assistant.,Unclear,False,True,none,easy,formal,short,Automatic out-of-office response that does not address participation.,none,none,Claude,heldout,Approved,
H005,"Hey! Sounds fun. Before I say yes, which products would I actually be featuring, and how many posts are you expecting? Also is there a rough timeline?",Needs Information,False,False,none,easy,casual,short,"Asks about products, deliverable volume, and timeline before deciding; no terms proposed.",Products to feature; number of posts; campaign timeline,none,Claude,heldout,Approved,
H006,"Thank you for reaching out, this is lovely. I really admire how your brand handles ingredient transparency and I think my audience would respond well. I'm glad to be involved. One thing to note: I currently have an exclusivity agreement with another skincare label that runs until November, so I could only post from December onward and couldn't mention serums or moisturisers.",Negotiation,True,True,timing;exclusivity;product,hard,formal,long,Acceptance language is followed by restrictions on posting dates and product categories arising from an existing exclusivity deal.,none,Posting only from December onward; cannot feature serums or moisturisers due to existing exclusivity,Claude,heldout,Approved,
H007,yes!! count me in 🙌 just tell me where to send my address,Interested,False,False,none,easy,enthusiastic,short,"Unconditional acceptance; offering a shipping address is logistics, not a condition.",none,none,Claude,heldout,Approved,
H008,"Hey, appreciate you thinking of me but it's gonna be a no from me. Not really the direction I'm taking my content right now. Good luck with it though!",Declined,False,False,none,easy,casual,short,Clear refusal based on content direction; no negotiation.,none,none,Claude,heldout,Approved,
H009,"Good afternoon, Thank you for the kind invitation. Could you please share the campaign brief, including the required deliverables, the posting window, and whether the collaboration is paid or gifted? I would like to review these details before confirming. Kind regards, Dr. Amara Osei",Needs Information,False,False,none,easy,formal,medium,"Requests brief, deliverables, schedule, and compensation model before deciding; proposes no terms.",Campaign brief; required deliverables; posting window; paid or gifted,none,Claude,heldout,Approved,
H010,"I'm in! Actually, wait, I just remembered my manager said I'm not supposed to commit to anything this quarter. Or maybe that was only for fashion brands? Let me think about it.",Unclear,False,True,none,hard,hesitant,short,Acceptance is immediately contradicted by possible unavailability; intent is unresolved.,none,none,Claude,heldout,Approved,
